*****************************
Basic coeficients
*****************************
Alpha, Cd
   18.00    ,   -.6402E-02
   19.00    ,   -.1038E-01
   20.00    ,   -.1222E-01
   21.00    ,   -.1001E-01
   22.00    ,   -.7947E-02
   24.00    ,   -.8844E-02

Alpha, Cyp
  -16.00    ,   -.1900E-02
  -8.000    ,   -.3716E-02
  -6.000    ,   -.4152E-02
  -4.000    ,   -.4576E-02
  -2.000    ,   -.5003E-02
    .000    ,   -.5461E-02
   2.000    ,   -.5958E-02
   4.000    ,   -.6509E-02
   8.000    ,   -.8289E-02
   9.000    ,   -.1286E-01
   10.00    ,   -.6162E-02
   12.00    ,   -.7577E-02
   14.00    ,   -.8104E-02
   16.00    ,   -.8633E-02
   18.00    ,   -.8738E-02
   19.00    ,   -.7911E-02
   20.00    ,   -.6566E-02
   21.00    ,   -.5168E-02
   22.00    ,   -.4309E-02
   24.00    ,   -.2472E-02

Alpha, Cnp
  -16.00    ,    .2514E-02
  -8.000    ,    .8478E-03
  -6.000    ,    .4453E-03
  -4.000    ,    .5383E-04
  -2.000    ,   -.3419E-03
    .000    ,   -.7701E-03
   2.000    ,   -.1238E-02
   4.000    ,   -.1765E-02
   8.000    ,   -.3544E-02
   9.000    ,   -.8466E-02
   10.00    ,   -.1154E-02
   12.00    ,   -.2623E-02
   14.00    ,   -.3132E-02
   16.00    ,   -.3625E-02
   18.00    ,   -.3657E-02
   19.00    ,   -.2844E-02
   20.00    ,   -.1583E-02
   21.00    ,   -.2951E-03
   22.00    ,    .4995E-03
   24.00    ,    .2205E-02

Alpha, Cnr
  -16.00    ,   -.5367E-03
  -8.000    ,   -.2133E-03
  -6.000    ,   -.1833E-03
  -4.000    ,   -.1714E-03
  -2.000    ,   -.1763E-03
    .000    ,   -.1993E-03
   2.000    ,   -.2427E-03
   4.000    ,   -.3083E-03
   8.000    ,   -.5092E-03
   9.000    ,   -.5685E-03
   10.00    ,   -.6228E-03
   12.00    ,   -.7259E-03
   14.00    ,   -.8119E-03
   16.00    ,   -.8699E-03
   18.00    ,   -.7494E-03
   19.00    ,   -.4977E-03
   20.00    ,   -.2551E-03
   21.00    ,   -.1506E-03
   22.00    ,   -.1580E-03
   24.00    ,   -.3678E-03

Alpha, Clr
  -16.00    ,     .000    
  -8.000    ,     .000    
  -6.000    ,     .000    
  -4.000    ,     .000    
  -2.000    ,     .000    
    .000    ,     .000    
   2.000    ,     .000    
   4.000    ,     .000    
   8.000    ,     .000    
   9.000    ,     .000    
   10.00    ,     .000    
   12.00    ,     .000    
   14.00    ,     .000    
   16.00    ,     .000    
   18.00    ,     .000    
   19.00    ,     .000    
   20.00    ,     .000    
   21.00    ,     .000    
   22.00    ,     .000    
   24.00    ,     .000    

*****************************
Flap terms
*****************************
Plain flaps
DeltaFlap, CL
  -15.00    ,   -.9373E-01
  -10.00    ,   -.6855E-01
  -5.000    ,   -.3428E-01
    .000    ,     .000    
   5.000    ,    .3428E-01
   10.00    ,    .6855E-01
   15.00    ,    .9373E-01

Plain flaps
DeltaFlap, Cm
  -15.00    ,   -.8251E-01
  -10.00    ,   -.6047E-01
  -5.000    ,   -.3022E-01
    .000    ,     .000    
   5.000    ,    .3022E-01
   10.00    ,    .6047E-01
   15.00    ,    .8209E-01

Cd_Flaps for Plain flaps
Alpha, DeltaFlap
            ,   -15.00    ,   -10.00    ,   -5.000    ,     .000    ,    5.000    ,    10.00    ,    15.00    
  -16.00    ,    .1119E-01,    .7436E-02,    .3210E-02,     .000    ,   -.2193E-02,   -.3370E-02,   -.3587E-02
  -8.000    ,    .6415E-02,    .3945E-02,    .1464E-02,     .000    ,   -.4477E-03,    .1211E-03,    .1187E-02
  -6.000    ,    .5198E-02,    .3055E-02,    .1019E-02,     .000    ,   -.2577E-05,    .1011E-02,    .2404E-02
  -4.000    ,    .3962E-02,    .2151E-02,    .5672E-03,     .000    ,    .4494E-03,    .1915E-02,    .3640E-02
  -2.000    ,    .2720E-02,    .1242E-02,    .1129E-03,     .000    ,    .9037E-03,    .2824E-02,    .4882E-02
    .000    ,    .6971E-03,   -.2369E-03,   -.6267E-03,     .000    ,    .1643E-02,    .4303E-02,    .6904E-02
   2.000    ,    .2265E-03,   -.5810E-03,   -.7988E-03,     .000    ,    .1815E-02,    .4647E-02,    .7375E-02
   4.000    ,   -.1036E-02,   -.1504E-02,   -.1260E-02,     .000    ,    .2277E-02,    .5571E-02,    .8637E-02
   8.000    ,   -.3611E-02,   -.3388E-02,   -.2202E-02,     .000    ,    .3219E-02,    .7454E-02,    .1121E-01
   9.000    ,   -.4270E-02,   -.3870E-02,   -.2443E-02,     .000    ,    .3460E-02,    .7936E-02,    .1187E-01
   10.00    ,   -.4956E-02,   -.4371E-02,   -.2694E-02,     .000    ,    .3711E-02,    .8438E-02,    .1256E-01
   12.00    ,   -.6392E-02,   -.5422E-02,   -.3219E-02,     .000    ,    .4236E-02,    .9488E-02,    .1399E-01
   14.00    ,   -.7859E-02,   -.6495E-02,   -.3756E-02,     .000    ,    .4772E-02,    .1056E-01,    .1546E-01
   16.00    ,   -.9463E-02,   -.7668E-02,   -.4342E-02,     .000    ,    .5359E-02,    .1173E-01,    .1706E-01
   18.00    ,   -.1141E-01,   -.9091E-02,   -.5054E-02,     .000    ,    .6071E-02,    .1316E-01,    .1901E-01
   19.00    ,   -.1256E-01,   -.9932E-02,   -.5474E-02,     .000    ,    .6491E-02,    .1400E-01,    .2016E-01
   20.00    ,   -.1410E-01,   -.1106E-01,   -.6038E-02,     .000    ,    .7054E-02,    .1513E-01,    .2170E-01
   21.00    ,   -.1568E-01,   -.1221E-01,   -.6615E-02,     .000    ,    .7631E-02,    .1628E-01,    .2328E-01
   22.00    ,   -.1710E-01,   -.1325E-01,   -.7133E-02,     .000    ,    .8150E-02,    .1732E-01,    .2470E-01
   24.00    ,   -.1955E-01,   -.1504E-01,   -.8030E-02,     .000    ,    .9047E-02,    .1911E-01,    .2715E-01

*****************************
Aileron terms
*****************************
*****************************
Elevator terms
*****************************
Cd_Elev
Alpha, DeltaElev
            ,   -15.00    ,   -10.00    ,   -5.000    ,     .000    ,    5.000    ,    10.00    ,    15.00    
  -16.00    ,    .1119E-01,    .7436E-02,    .3210E-02,   -.5401E-05,   -.2193E-02,   -.3370E-02,   -.3587E-02
  -8.000    ,    .6415E-02,    .3945E-02,    .1464E-02,   -.1910E-05,   -.4477E-03,    .1211E-03,    .1187E-02
  -6.000    ,    .5198E-02,    .3055E-02,    .1019E-02,   -.1020E-05,   -.2577E-05,    .1011E-02,    .2404E-02
  -4.000    ,    .3962E-02,    .2151E-02,    .5672E-03,   -.1157E-06,    .4494E-03,    .1915E-02,    .3640E-02
  -2.000    ,    .2720E-02,    .1242E-02,    .1129E-03,    .7928E-06,    .9037E-03,    .2824E-02,    .4882E-02
    .000    ,    .6971E-03,   -.2369E-03,   -.6267E-03,    .2272E-05,    .1643E-02,    .4303E-02,    .6904E-02
   2.000    ,    .2265E-03,   -.5810E-03,   -.7988E-03,    .2616E-05,    .1815E-02,    .4647E-02,    .7375E-02
   4.000    ,   -.1036E-02,   -.1504E-02,   -.1260E-02,    .3539E-05,    .2277E-02,    .5571E-02,    .8637E-02
   8.000    ,   -.3611E-02,   -.3388E-02,   -.2202E-02,    .5424E-05,    .3219E-02,    .7454E-02,    .1121E-01
